title,price,location_date,size
Andar Moradia V3 Duplex nas Caldas de São Jorge,199.500 €,Caldas De São Jorge E Pigeiros - 23 de julho de 2024,210 m²
Quinta Senhorial T4 | Oliveira de Azeméis,425.000 €,Vila de Cucujães - 19 de julho de 2024,140 m²
Mobil Home V2 | IRM Riviera Suite | Toda equipada,25.950 €,Esgueira - 23 de julho de 2024,34 m²
"Quintinha T3 Duplex em Válega, Ovar.",600.000 €,Válega - Hoje às 23:33,37.800 m²
Moradia T3 para venda,265.000 €,Mozelos - Hoje às 23:06,"159,05 m²"
Moradia rentabilidade ++ M ano - ausência do país Aceita PROPOSTA,789.000 €Negociável,Glória E Vera Cruz - Hoje às 21:55,850 m²
Andar Moradia T3 - LUXUOSO,315.000 €,"Oliveira De Azeméis, Santiago De Riba-Ul, Ul, Macinhata Da Seixa E Madail - Hoje às 20:05",163 m²
Moradia T5 Isolada em Loureiro,200.000 €,Loureiro - Hoje às 20:03,186 m²
Moradia V3 com Closet + Mezaninos,470.000 €,Silvalde - Hoje às 19:45,240 m²
"Casa T3 em Válega de 170,00 m2",330.000 €,Válega - Hoje às 19:36,170 m²
Moradia com vista maravilhosa no centro do Luso,107.000 €,Luso - Hoje às 19:32,260 m²
Moradia T3 com Jardim e Garagem,299.000 €,Nogueira da Regedoura - Hoje às 18:50,168 m²
Moradia isolada T3+1 com piscina em Argoncilhe.,695.000 €,Argoncilhe - Hoje às 18:19,"449,85 m²"
"Moradia com adega e terreno, Mamarrosa, Oliveira do Bairro",125.000 €,"Bustos, Troviscal E Mamarrosa - 28 de junho de 2024",175 m²
Moradia de Luxo em Santa Maria da Feira,465.000 €,"Santa Maria Da Feira, Travanca, Sanfins E Espargo - Para o topo a 23 de julho de 2024",358 m²
Moradia de 3 frentes T4 junto à praia de Esmoriz,575.000 €,Esmoriz - Hoje às 15:42,361 m²
"Fantástica Quinta T4, Remodelada em Vale de Cambra, com lindo Salão de",460.000 €,Macieira de Cambra - Hoje às 18:15,400 m²
Moradia em Ilhavo,230.000 €,Ílhavo (São Salvador) - Hoje às 18:00,108 m²
Excelente Moradia Térrea T3 - Santa Joana,390.000 €,Santa Joana - Hoje às 17:58,"155,35 m²"
Moradia Térrea em Espinho,290.000 €,Espinho - Hoje às 17:57,70 m²
Moradia T3+1 Térrea em Santa Joana,155.000 €,Santa Joana - Hoje às 17:56,119 m²
Moradia T4+1 em Esgueira,445.000 €,Esgueira - Hoje às 17:49,"214,38 m²"
Moradia em Oliveirinha para restaurar com terreno de 2.000m2,68.500 €,Oliveirinha - Hoje às 17:49,95 m²
"Moradia T3 habitável para renovar, com 880m2 de terreno, local calmo e",136.000 €,São Miguel Do Souto E Mosteirô - Hoje às 17:45,123 m²
"Quinta T8 c/ terreno em Milheirós de Poiares, Santa Maria da Feira",190.000 €,Milheirós de Poiares - Hoje às 17:20,473 m²
"Fantástica moradia Isolada T3 com piscina, jardim e anexos",350.000 €,Calvão - Hoje às 17:14,"136,55 m²"
PARTICULAR- Moradia T4 de Luxo em Escapães-  Santa Maria da Feira,395.000 €Negociável,Escapães - Para o topo a 23 de julho de 2024,282 m²
Moradia T3 Renovada em Lourosa,285.000 €,Lourosa - Hoje às 17:12,130 m²
Moradia T3+1 junto ao Pinhal D’ Aberta em Esmoriz,375.000 €,Esmoriz - Hoje às 17:12,260 m²
Magnífica moradia T3 térrea geminada de 3 frentes a 5 minutos do Ce...,365.000 €,"Santa Maria Da Feira, Travanca, Sanfins E Espargo - Hoje às 16:58",150 m²
Moradia isolada T4 em Macinhata da Seixa com linhas modernas,290.000 €,"Oliveira De Azeméis, Santiago De Riba-Ul, Ul, Macinhata Da Seixa E Madail - Hoje às 16:40",270 m²
"Quinta T4 em Travanca, Oliveira de Azeméis",295.000 €,"Pinheiro Da Bemposta, Travanca E Palmaz - Hoje às 16:38",264 m²
Moradia T4 próxima da praia,179.000 €,Gafanha da Boa Hora - Hoje às 16:37,90 m²
Moradia V2+1 Renovada em Macinhata da Seixa,240.000 €,"Oliveira De Azeméis, Santiago De Riba-Ul, Ul, Macinhata Da Seixa E Madail - Hoje às 16:37",100 m²
Moradias Geminadas T3 em São Roque,275.000 €,São Roque - Hoje às 16:35,130 m²
"Moradia Térrea V4 + 1 Independente com 4 Frentes, Jardim e Garagem,...",449.500 €,Lourosa - Hoje às 16:35,240 m²
Quinta em São João de Ver,440.000 €,São João de Ver - Hoje às 16:35,3.520 m²
"Moradia Isolada T4 em São Lourenço do Bairro, Anadia",345.000 €,S. Lourenço Do Bairro - Hoje às 16:32,"426,30 m²"
"Moradia Isolada T3 Venda em Silvalde,Espinho",235.000 €,Silvalde - Hoje às 16:25,73 m²
"Moradia geminada T4, perto do centro da vila.",170.000 €,Sever do Vouga - Hoje às 16:15,272 m²
Moradia para investimento no centro de Esgueira,225.000 €,Esgueira - Hoje às 16:15,267 m²
Moradia em Anta - Espinho,250.000 €,Anta E Guetim - Hoje às 16:15,50 m²
Moradia T3 para venda,145.000 €,Sangalhos - Hoje às 16:09,72 m²
"Fantástica Moradia Geminada T3, Vila De Cucujães (Oliveira De Azeméis)",307.500 €,Vila de Cucujães - Hoje às 16:04,163 m²
Casa rústica T2 - Em fase de restauro,200.000 €,Alvarenga - Hoje às 15:56,99 m²
Antiga serração - Frente de Rio,295.000 €,"Raiva, Pedorido E Paraíso - Hoje às 15:54",14.000 m²
Moradia de 3 frentes T4 junto à praia de Esmoriz,575.000 €,Esmoriz - Hoje às 15:42,361 m²
Andar Moradia V3 Duplex nas Caldas de São Jorge,199.500 €,Caldas De São Jorge E Pigeiros - 23 de julho de 2024,210 m²
PARTICULAR- Moradia T4 de Luxo em Escapães-  Santa Maria da Feira,395.000 €Negociável,Escapães - Para o topo a 23 de julho de 2024,282 m²
Moradia de Luxo em Santa Maria da Feira,465.000 €,"Santa Maria Da Feira, Travanca, Sanfins E Espargo - Para o topo a 23 de julho de 2024",358 m²
Moradia de 3 frentes T4 junto à praia de Esmoriz,575.000 €,Esmoriz - Hoje às 15:41,361 m²
"Moradia, Nogueira da Regedoura",490.000 €,Nogueira da Regedoura - Hoje às 15:20,199 m²
Moradia Geminada V3 Nova c/ Garagem em Milheiros de Poiares (Mamoa),320.000 €,Milheirós de Poiares - Hoje às 15:15,219 m²
Moradia com terreno para construção em solo Urbano Nivel 1 e 2 Albe...,535.000 €,Albergaria-A-Velha E Valmaior - Hoje às 15:12,"203,50 m²"
"Moradia independente no Bunheiro, Murtosa",180.000 €,Bunheiro - Hoje às 14:52,131 m²
Moradia T4 Isolada em Gafanha da Nazaré,320.000 €,Gafanha Da Nazaré - Hoje às 14:52,"450,30 m²"
Moradia T3 em Macinhata do Vouga,210.000 €,Macinhata do Vouga - Hoje às 14:46,384 m²
Moradia T2 para venda,222.500 €,Gafanha da Boa Hora - Hoje às 14:45,195 m²
Moradia T3 em fase de reabilitação situado em Santa Joana,155.000 €,Santa Joana - Hoje às 14:38,"70,50 m²"
Moradia Geminada T2 em Arrifana,178.000 €,Arrifana - Hoje às 14:35,43 m²
Mobil Home V2 | IRM Riviera Suite | Toda equipada,25.950 €,Esgueira - 23 de julho de 2024,34 m²
Quinta Senhorial T4 | Oliveira de Azeméis,425.000 €,Vila de Cucujães - 19 de julho de 2024,140 m²
Moradia de 3 frentes T4 junto à praia de Esmoriz,575.000 €,Esmoriz - Hoje às 15:42,361 m²
Moradia T4 térrea isolada - Aveiro,320.000 €,Cacia - Hoje às 14:35,"179,05 m²"
Moradia T3 no centro de Fermentelos,130.000 €,Fermentelos - Hoje às 14:31,114 m²
Moradia Oliveira de Azeméis,56.000 €,Ossela - Hoje às 14:31,45 m²
"Moradia em Cepelos, Vale de Cambra",27.500 €,Cepelos - Hoje às 14:31,88 m²
Moradia Santa Maria da Feira,390.000 €,"Santa Maria Da Feira, Travanca, Sanfins E Espargo - Hoje às 14:31",227 m²
Moradia em Vale de Cambra,27.500 €,Junqueira - Hoje às 14:31,86 m²
Moradia Santa Maria da Feira,390.000 €,"Santa Maria Da Feira, Travanca, Sanfins E Espargo - Hoje às 14:31",227 m²
Moradia Santa Maria da Feira,435.000 €,"Santa Maria Da Feira, Travanca, Sanfins E Espargo - Hoje às 14:31",240 m²
Casa para restauro em Arouca,35.000 €,Arouca E Burgo - Hoje às 14:31,30 m²
Moradias Geminadas T3+1,265.000 €,Cacia - Hoje às 14:30,140 m²
"Moradia com adega e terreno, Mamarrosa, Oliveira do Bairro",125.000 €,"Bustos, Troviscal E Mamarrosa - 28 de junho de 2024",175 m²
Moradia para restaurar,75.000 €,Recardães E Espinhel - Hoje às 14:08,400 m²
"Magnifica moradia geminada T3, Travanca - Santa Maria da Feira",320.000 €,"Ovar, São João, Arada E São Vicente De Pereira Jusã - Hoje às 14:01",245 m²
Ruína c/ terreno em Lobão (1346 m2),100.000 €,Argoncilhe - Hoje às 13:50,1.346 m²
Moradia T3 térrea em Oliveirinha,330.000 €,Oliveirinha - Hoje às 13:46,214 m²
Moradia T5 C/ Anexos E Logradouro C/1500 M2,485.000 €,Barcouço - Hoje às 13:44,500 m²
Moradia V-3 EM OVAR,490.000 €,Esmoriz - Hoje às 13:25,"229,70 m²"
Moradia 4 Frentes Em Ovar,685.000 €,Esmoriz - Hoje às 13:25,203 m²
Excelente Moradia T5 Toda Em Madeira,495.000 €,"Ovar, São João, Arada E São Vicente De Pereira Jusã - Hoje às 13:24",302 m²
Terreno Centro De Espinho Para 9 Frações,380.000 €,Espinho - Hoje às 13:24,168 m²
Moradia T6 Castelo De Paiva Com Piscina,380.000 €,Sobrado E Bairros - Hoje às 13:24,"227,30 m²"
Moradia Unifamiliar Aveiro,480.000 €,"Ovar, São João, Arada E São Vicente De Pereira Jusã - Hoje às 13:24",86 m²
Moradia Com Grande Terreno T2  Á Entrada De Espinho,285.000 €,Anta E Guetim - Hoje às 13:24,110 m²
Moradia T4 para venda,299.900 €,Esgueira - Hoje às 13:20,181 m²
Moradia T4+1 com terreno e piscina pronta a habitar,297.500 €,Moita - Hoje às 13:01,1.387 m²
Moradia T3 em Oliveira de Azemeis,420.000 €,"Oliveira De Azeméis, Santiago De Riba-Ul, Ul, Macinhata Da Seixa E Madail - Hoje às 12:59",381 m²
Quinta da Lavandeira - Paredes - Porto - Portugal,1.700.000 €,Aradas - Hoje às 12:54,5.720 m²
"Casa T5 em Anta E Guetim de 210,00 m2",319.000 €,Anta E Guetim - Hoje às 12:37,210 m²
"Moradia Individual T4, fáceis acessos A29, Esmoriz",420.000 €,Esmoriz - Hoje às 12:15,240 m²
"Moradia Geminada Térrea T3 em construção, Esmoriz",350.000 €,Esmoriz - Hoje às 12:15,135 m²
Moradia 3 quartos | anexos | jardim em Oliveirinha,550.000 €,Oliveirinha - Hoje às 12:00,152 m²
Andar Moradia V3 Duplex nas Caldas de São Jorge,199.500 €,Caldas De São Jorge E Pigeiros - 23 de julho de 2024,210 m²
"Moradia com adega e terreno, Mamarrosa, Oliveira do Bairro",125.000 €,"Bustos, Troviscal E Mamarrosa - 28 de junho de 2024",175 m²
Moradia de 3 frentes T4 junto à praia de Esmoriz,575.000 €,Esmoriz - Hoje às 15:42,361 m²
