title,price,location_date,size
Moradia rch e 1° Andar para restauro.,97.000 €Negociável,Pousada de Saramagos - Para o topo a 22 de julho de 2024,87 m²
Moradia T4 Térrea com Piscina Soutelo – Vila Verde.,520.000 €,Ribeira Do Neiva - Hoje às 00:44,318 m²
Moradia Tradicional na Portela de Cabras em Vila Verde,250.000 €,Ribeira Do Neiva - Hoje às 00:40,315 m²
"Moradia Térrea T3 - Soutelo, Vila Verde",535.000 €,Atiães - Hoje às 00:35,254 m²
Kayo Residences - Moradias individuais T3 e T4 - Lote 3,470.000 €,"Gondifelos, Cavalões E Outiz - Hoje às 00:20",330 m²
"Moradia Individual p/ Restauro, S. Vitor, junto a Capela de Sta Tecla",149.900 €,São Victor - Hoje às 00:01,600 m²
Moradia T5 - Póvoa de Lanhoso,499.000 €,Nossa Senhora do Amparo - 24 de julho de 2024,244 m²
"Moradia Individual em Sequeira, Braga!",450.000 €,Sequeira - 24 de julho de 2024,300 m²
"Moradia T4, INDIVIDUAL, junto ao centro",349.900 €,Tamel (São Veríssimo) - 24 de julho de 2024,232 m²
"Moradia T4, em Banda, em ANTAS, Vila Nova de Famalicão",310.000 €,Antas E Abade De Vermoim - 24 de julho de 2024,250 m²
"Moradia T3, em Banda, em VILA NOVA DE FAMALICÃO",295.000 €,Antas E Abade De Vermoim - 24 de julho de 2024,240 m²
Moradia T3+1 c/ PISCINA perto do CENTRO de Guimarães,547.000 €,Azurém - 24 de julho de 2024,166 m²
"Moradia em Banda, T3, em GUALTAR, Braga",380.000 €,Gualtar - 24 de julho de 2024,175 m²
"Moradia T3 com JACUZZI exterior em VILA COVA, Barcelos",375.000 €,Vila Cova E Feitos - 24 de julho de 2024,150 m²
Moradia para Restaurar em Barcelos,75.000 €,"Milhazes, Vilar De Figos E Faria - 24 de julho de 2024",158 m²
"Moradia T4 em Vila Cova, Barcelos",263.000 €,Vila Cova E Feitos - 24 de julho de 2024,162 m²
Moradia Rústica T3 para RESTAURO,350.000 €,Adães - 24 de julho de 2024,114 m²
"Moradia em Banda, T3, em DUME, Braga",420.000 €,"Real, Dume E Semelhe - 24 de julho de 2024",220 m²
