title,price,location_date,size
"Moradia M4 +G dupla, anexo, arrumações. Pequeno quintal",88.000 €,Santa Clara E Castelo Viegas - Hoje às 17:34,130 m²
Casa em granito com pátio e jardim nos arredores da aldeia.,63.000 €Negociável,Ervedal E Vila Franca Da Beira - Para o topo Hoje às 10:30,200 m²
Moradia T3 para venda,120.000 €,Soure - Hoje às 22:08,"149,70 m²"
Moradia T4 para venda,144.000 €,Vila Nova de Anços - Hoje às 22:07,180 m²
Moradia T1 para venda,220.000 €,Buarcos - Hoje às 22:06,42 m²
Moradia T3 para venda,50.000 €,Soure - Hoje às 22:06,62 m²
Moradia T3 para venda,136.000 €,Lousã E Vilarinho - Hoje às 22:06,100 m²
Moradia T4 com 420m2| 10 Assoalhadas | Jardim Quintal 3500m2 | Coimbra,368.000 €,Assafarge E Antanhol - Hoje às 21:40,140 m²
Moradia isolada renovada,680 €,Soure - Hoje às 21:25,100 m²
Moradia 2X T1 + T2 Duplex | Rentabilidade | Entradas Independentes,499.900 €,Buarcos - Hoje às 20:40,210 m²
Moradia para Recuperar na Pedrulha,99.900 €,"Coimbra (Sé Nova, Santa Cruz, Almedina E São Bartolomeu) - Hoje às 20:10",85 m²
"Moradia T4 de características únicas, num ambiente tranquilo em Verrid",165.000 €,"Abrunheira, Verride E Vila Nova Da Barca - Hoje às 19:30",199 m²
Moradia T3 na Figueira da Foz,290.000 €,Buarcos - Hoje às 19:18,"58,38 m²"
Moradia c/garagem pátio,17.900 €,Zambujal - Hoje às 19:02,47 m²
"Casa tradicional T2 em São Miguel, Santa Eufémia e Rabaçal de 92,00 m2",145.000 €,"São Miguel, Santa Eufémia E Rabaçal - Hoje às 18:36",92 m²
"Casa T3 em Cantanhede e Pocariça de 400,00 m2",537.000 €,Cantanhede E Pocariça - Hoje às 18:36,400 m²
"Casa de Campo T2 em Vila Nova de 60,00 m2",30.000 €,Vila Nova - Hoje às 18:36,60 m²
Moradia T2 c/ terreno urbanizável,60.000 €,Moinhos da Gândara - Hoje às 18:01,44 m²
Moradia T1 | Vale| Para recuperar |Senhor da Serra,29.900 €,Ceira - Hoje às 17:40,84 m²
Tavarede- Moradia Nova T3,382.500 €,Tavarede - Hoje às 17:38,120 m²
Valada/Gesteira - Moradia Com Quintal 1297M2,16.000 €,Soure - Hoje às 17:38,116 m²
"Moradia M4 +G dupla, anexo, arrumações. Pequeno quintal",88.000 €,Santa Clara E Castelo Viegas - Hoje às 17:34,130 m²
Moradia T4 de luxo com um vasto requinte e características únicas em B,490.000 €,Buarcos - Hoje às 17:28,90 m²
Dois Prédios T3 | Baixa de Coimbra,300.000 €,"Coimbra (Sé Nova, Santa Cruz, Almedina E São Bartolomeu) - Hoje às 17:20",126 m²
Vende-se moradia para reconstrução co...,115.000 €,Santo António dos Olivais - Hoje às 17:16,60 m²
"Vende-se moradia T4 com garagem e logradouro nos Carvalhais, Coimbra",220.000 €,Assafarge E Antanhol - Hoje às 17:14,150 m²
Moradia T2 | Serroventoso | Samuel | Soure,39.000 €,Samuel - Hoje às 17:10,81 m²
Moradia T2 para venda,57.000 €,Almalaguês - Hoje às 17:07,206 m²
Moradia T4 com Jardim l Junto à Quinta das Nogueiras l Coimbra,350.000 €,Santo António dos Olivais - Hoje às 17:00,144 m²
Moradia T6 com Piscina,460.000 €,Tavarede - Hoje às 16:50,360 m²
Moradia T5 Centro da Solum | Coimbra,650.000 €,Santo António dos Olivais - Hoje às 16:45,183 m²
Moradia T4 | Garagem | Cernache,49.900 €,Cernache - Hoje às 16:40,70 m²
Quintinha em Buarcos - Figueira da Foz,250.000 €,Buarcos - Hoje às 16:31,134 m²
Moradia T3 S. Martinho c/ terreno,27.000 €,São Martinho da Cortiça - Hoje às 16:29,226 m²
Moradia T3 para reconstruir Miranda do Corvo,33.000 €,Miranda do Corvo - Hoje às 16:23,70 m²
Moradia T4+1 Santo António dos Olivais,750.000 €,Santo António dos Olivais - Hoje às 16:20,220 m²
"Moradia T2 para recuperar, na Rua do Cedro, Coimbra",185.000 €,Santo António dos Olivais - Hoje às 16:20,148 m²
Moradia T3 Vale Cordeiro c/ pátio,79.000 €,Arganil - Hoje às 16:19,"163,40 m²"
Moradia T5 Moita da Serra c/ terreno,265.000 €,Carapinha - Hoje às 16:19,304 m²
Moradia T5 Sobreira c/ terreno e arrumos,149.000 €,São Martinho da Cortiça - Hoje às 16:19,150 m²
Moradia T3 Lomba (Arganil) p/ recuperar,21.000 €,Arganil - Hoje às 16:17,"123,35 m²"
Moradia T3 Pereiro (Arganil) c/ terreno,165.000 €,Góis - Hoje às 16:17,"198,20 m²"
"Moradia M4 +G dupla, anexo, arrumações. Pequeno quintal",88.000 €,Santa Clara E Castelo Viegas - Hoje às 17:34,130 m²
Casa em granito com pátio e jardim nos arredores da aldeia.,63.000 €Negociável,Ervedal E Vila Franca Da Beira - Para o topo Hoje às 10:30,200 m²
Quinta na Esculca c/ moradia,39.500 €,Benfeita - Hoje às 16:16,"58,52 m²"
Moradia T4 Xisto | 7 Assoalhadas | Pampilhosa da Serra,80.000 €,Pessegueiro - Hoje às 16:10,162 m²
Casa para Reconstrução com Terreno Amplo! Pereirões - TOCHA,99.000 €,Tocha - Hoje às 16:10,8.199 m²
Moradia T4 para venda,255.000 €,São Martinho Do Bispo E Ribeira De Frades - Hoje às 15:55,135 m²
Moradia T7 para venda,400.000 €,Febres - Hoje às 15:30,650 m²
Imóvel de banco sem LU escritura ao abrigo simplex,175.000 €,Arganil - Hoje às 15:26,388 m²
"Moradia T2, Bairro Norton de Matos",379.900 €,Santo António dos Olivais - Hoje às 15:10,125 m²
Moradia T4 em pedra e anexo pronta a habitar em Penela,149.000 €,"São Miguel, Santa Eufémia E Rabaçal - Hoje às 14:56",114 m²
Casa de Campo - Serra do Açor,140.000 €,Benfeita - Hoje às 14:50,133 m²
Castelo|Solar|Palacete para venda - Paço da Ega,3.500.000 €,Ega - Hoje às 14:50,15.908 m²
Moradia V1 Tábua - Candosa,50.000 €,Candosa - Hoje às 14:31,84 m²
Moradia M4 Isolada + Garagem Próximo de Praia,250.000 €,Quiaios - Hoje às 14:28,200 m²
Moradia T4 para venda,114.000 €,Lousã E Vilarinho - Hoje às 14:15,90 m²
Moradia no centro da Vila,26.000 €,Vila Nova de Anços - Hoje às 14:13,60 m²
"Moradia isolada a 2 min da Praia de Buarcos, Figueira da Foz !",380.000 €,Buarcos - Hoje às 14:03,235 m²
"Moradia Maiorca, Figueira da foz!",75.000 €,Maiorca - Hoje às 13:59,40 m²
"Moradia T4+1 situada em Maiorca, Figueira da Foz!",365.000 €,Maiorca - Hoje às 13:59,279 m²
"Moradia T3 Paião, Figueira da Foz",240.000 €,Paião - Hoje às 13:57,139 m²
Moradia T1 |Traveira | Remodelar | Condeixa-a-Nova,29.500 €,Vila Seca E Bem Da Fé - Hoje às 13:50,51 m²
Moradia T3 na Figueira da Foz,265.000 €,Buarcos - Hoje às 13:35,102 m²
Moradia chave-na-mão - Cernache,400.000 €,Cernache - Hoje às 13:30,"188,50 m²"
Moradia T3 para venda,350.000 €,Buarcos - Hoje às 13:08,"130,80 m²"
Moradia T4 + 2  no Tovim com Piscina,599.000 €,Santo António dos Olivais - Hoje às 12:48,325 m²
Moradia T4 em Cantanhede com lote de 520m2,370.000 €,Cantanhede E Pocariça - Hoje às 12:46,226 m²
"Moradia centro de Coimbra, tipologia T4 +, junto à Quinta da Portela,",730.000 €,Santo António dos Olivais - Hoje às 12:46,578 m²
Moradia térrea  T2 com terreno  | Penacova | Coimbra | Venda | Investi,80.000 €,São Pedro De Alva E São Paio De Mondego - Hoje às 12:46,70 m²
"Moradia T4+1 NOVA em Ribeira de Frades, São Martinho do Bispo, Coimbra",450.000 €,São Martinho Do Bispo E Ribeira De Frades - Hoje às 12:44,300 m²
Palacete de Luxo com Piscina: Refúgio Histórico no Coração de Lousã,1.300.000 €,Lousã E Vilarinho - Hoje às 12:30,5.745 m²
Moradia Isolada + T1,470.000 €,Tavarede - Hoje às 12:15,175 m²
Moradia de 3 pisos e sótão no centro de Montemor-o-Velho,90.000 €,Montemor-O-Velho E Gatões - Hoje às 12:06,161 m²
"Moradia para remodelar em Framilo, Vila Nova de Poiares",35.000 €,Foz De Arouce E Casal De Ermio - Hoje às 12:04,94 m²
Moradia para remodelar em Vilarinho do Alva,59.000 €,Pombeiro da Beira - Hoje às 12:03,56 m²
Moradia T2 para venda,42.500 €,Carapinheira - Hoje às 12:00,83 m²
Moradia em Banda - Santo António dos Olivais,79.000 €,Santo António dos Olivais - Hoje às 11:25,30 m²
Moradia T4 para renovação,79.000 €,Torres do Mondego - Hoje às 11:20,90 m²
Moradia T3 em Semide,78.500 €,Semide E Rio Vide - Hoje às 11:15,120 m²
Moradia T5 para venda,180.000 €,Foz De Arouce E Casal De Ermio - Hoje às 11:08,260 m²
Moradia T2 para venda,59.900 €,São Martinho De Árvore E Lamarosa - Hoje às 10:50,94 m²
"Casa em Xisto, Armadouro",59.000 €Negociável,Cabril - Hoje às 10:34,98 m²
Casa em granito com pátio e jardim nos arredores da aldeia.,63.000 €Negociável,Ervedal E Vila Franca Da Beira - Para o topo Hoje às 10:30,200 m²
Casa em granito com pátio e jardim nos arredores da aldeia.,63.000 €Negociável,Ervedal E Vila Franca Da Beira - Para o topo Hoje às 10:30,200 m²
"Moradia M4 +G dupla, anexo, arrumações. Pequeno quintal",88.000 €,Santa Clara E Castelo Viegas - Hoje às 17:34,130 m²
"Moradia para remodelar Painça, Montemor-o-Novo",67.000 €,Granja do Ulmeiro - Hoje às 10:27,92 m²
Moradia T5 em Santa Clara,600.000 €,Santa Clara E Castelo Viegas - Hoje às 10:24,277 m²
Moradia T4 c/ Vistas de Mar,575.000 €,Buarcos - Hoje às 10:24,243 m²
Moradia T2 para venda,34.000 €,"Abrunheira, Verride E Vila Nova Da Barca - Hoje às 10:21",210 m²
"Moradia T4 Venda em Alhadas,Figueira da Foz",119.500 €,Buarcos - Hoje às 10:12,"101,72 m²"
"Moradia T2 Venda em Maiorca,Figueira da Foz",140.000 €,Maiorca - Hoje às 10:11,90 m²
"Moradia Geminada T2 Venda em Buarcos e São Julião,Figueira da Foz",179.990 €,Buarcos - Hoje às 10:10,75 m²
Moradia T3+2 em Murtinheira,535.000 €,Quiaios - Hoje às 10:10,242 m²
Moradia Junto à Praia da Cova em S. Pedro - Figueira da Foz,159.000 €,Ferreira-A-Nova - Hoje às 09:53,75 m²
Casa com terreno,35.000 €,Góis - Hoje às 09:53,3.000 m²
Moradia T2 para venda,72.000 €,Cumeeira - Hoje às 09:35,108 m²
Estúdio Residence Celas,750 €,Santo António dos Olivais - Hoje às 09:24,30 m²
Moradia T4+1 Individual | Cernache | Terreno 2380m2,495.000 €,Cernache - Hoje às 09:20,291 m²
Moradia T4 para venda,49.900 €,Portela Do Fojo-Machio - Hoje às 09:08,46 m²
"Quinta de 4 ha com casa de habitação, 2 casas de arrumo e boas vistas",120.000 €,Covas E Vila Nova De Oliveirinha - Hoje às 09:01,67 m²
Moradia T4 | NOVA | A 5 minutos de Coimbra,600.000 €,Santa Clara E Castelo Viegas - Hoje às 08:58,500 m²
Imóvel para Investimento próximo do centro de Cantanhede,100.000 €,Cantanhede E Pocariça - Hoje às 08:52,178 m²
Magnifico imóvel para investimento no centro da Figueira da Foz / C...,180.000 €,Buarcos - Hoje às 08:50,96 m²
Ruína para recuperar em Bordeiro,14.900 €,Góis - Hoje às 08:50,50 m²
Moradia T8 para habitação c/ estabelecimento comercial,240.000 €,Carapinha - Hoje às 08:50,400 m²
Moradia T5 com jardim no centro da Vila de Côja - Arganil,249.000 €,Lavos - Hoje às 08:49,348 m²
Ruína em Xisto para recuperar,33.000 €,Benfeita - Hoje às 08:49,16 m²
"Moradia T5 em Sarzedo, Arganil",130.000 €,Arganil - Hoje às 08:48,72 m²
Oportunidade Única: Moradia para Reconstrução em Alvares com Terren...,115.000 €,Alvares - Hoje às 08:48,200 m²
"Moradia T4 com acabamentos de luxo em Coimbra, em fase final de con...",1.300.000 €,Santo António dos Olivais - Hoje às 08:48,173 m²
"Moradia T3 em Quinta do Areeiro, Covas",117.000 €,Covas E Vila Nova De Oliveirinha - Hoje às 08:48,90 m²
Moradia T2 de r/c e 1º andar,90.000 €,Côja E Barril De Alva - Hoje às 08:47,160 m²
"Moradia T4 em Vinhó, Vila Cova de Alva",950.000 €,Côja E Barril De Alva - Hoje às 08:47,336 m²
Moradia T2 com Terreno e Garagem em Coja - Arganil,249.500 €,Côja E Barril De Alva - Hoje às 08:47,303 m²
