title,price,location_date,size
* CASA PRÉ-FABRICADA BARATA BK DE 9X4 METROS EM BRAGA.,14.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,36 m²
"Moradia T2 Venda em Albufeira e Olhos de Água,Albufeira",895.000 €,Albufeira E Olhos De Água - 23 de julho de 2024,135 m²
Ruína | zona Boliqueime | vista mar | virado a sul | projecto em aprov,275.000 €,Boliqueime - 24 de julho de 2024,1.884 m²
Moradia em T3 em banda em Faro,650.000 €,Montenegro - Hoje às 00:02,170 m²
Moradias Individuais T5 em Faro,1.400.000 €,Montenegro - Hoje às 00:02,243 m²
Moradia em T3 em banda em Faro,680.000 €,Montenegro - Hoje às 00:02,170 m²
"Moradia nova T3 geminada em Branqueira, Albufeira",900.000 €,Albufeira E Olhos De Água - Hoje às 00:01,"222,65 m²"
Moradia T3 Centro Portimão para rentabilizar,315.000 €,Portimão - Hoje às 00:00,103 m²
"Moradia com 3 quartos, 3 casas de banho, cozinha equipada, piscina",798.000 €,Algoz E Tunes - 24 de julho de 2024,"336,70 m²"
Moradia T3 para venda,380.000 €,Santa Catarina Fonte Bispo - 24 de julho de 2024,"114,52 m²"
BOLIQUEIME - Excelente moradia V4 com VISTA MAR,1.850.000 €,Boliqueime - 24 de julho de 2024,561 m²
"Vilamoura - Moradia de luxo, com quatro quartos, piscina privativa e e",1.800.000 €,Quarteira - 24 de julho de 2024,237 m²
"Vilamoura - Moradia de luxo, com quatro quartos, piscina privativa e e",1.700.000 €,Quarteira - 24 de julho de 2024,237 m²
* CASA MÓVEL USADA IRM VILANOVA DE 8X4 METROS EM BEJA.,14.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
* CASA PRÉ-FABRICADA MÓVEL IRM MERCURE DE 8X4 METROS EM SANTAREM.,16.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
"Moradia Geminada T2 Venda em Quarteira,Loulé",495.000 €,Quarteira - 23 de julho de 2024,"85,09 m²"
"Vilamoura - Moradia de luxo, com quatro quartos, piscina privativa e e",1.700.000 €,Quarteira - 24 de julho de 2024,237 m²
"Vilamoura - Moradia de luxo, com quatro quartos, piscina privativa e e",1.700.000 €,Quarteira - 24 de julho de 2024,237 m²
"Vilamoura - Moradia de luxo, com quatro quartos, piscina privativa e e",1.700.000 €,Quarteira - 24 de julho de 2024,237 m²
"Vilamoura - Moradia de luxo, com quatro quartos, piscina privativa e e",1.700.000 €,Quarteira - 24 de julho de 2024,237 m²
Charmosa moradia térrea V5 com maravilhosa vista sobre o Old Course em,2.300.000 €,Quarteira - 24 de julho de 2024,205 m²
"Algarve - Portugal |
Moradia Isolada T6 | S. Brás D'Alportel",660.000 €,São Brás de Alportel - 24 de julho de 2024,574 m²
Moradia Nova V3 Fuseta Algarve,680.000 €,Moncarapacho E Fuseta - 24 de julho de 2024,150 m²
Moradia de estilo único com vistas fantásticas para o mar e piscina,700.000 €,Conceição E Cabanas De Tavira - 24 de julho de 2024,227 m²
Casa no centro de Tavira ideal para investimento em aluguer,235.000 €,Tavira (Santa Maria E Santiago) - 24 de julho de 2024,40 m²
Vendo Apartamento/ Moradia,189.900 €,Portimão - Para o topo a 24 de julho de 2024,70 m²
MOBILE HOME USADA O'HARA DE 8X4 METROS NA SANTAREM.,22.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
Vendo Apartamento/ Moradia,189.900 €,Portimão - Para o topo a 24 de julho de 2024,70 m²
Casa antiga para reconstrução nas Sarnadas; Alte.,149.000 €,Alte - Para o topo a 22 de julho de 2024,115 m²
Moradia V6 na Quinta do Lago,7.500.000 €,Almancil - 24 de julho de 2024,578 m²
"Casa / Villa T4 em Loulé (São Sebastião) de 232,00 m2",2.900.000 €,São Clemente - 24 de julho de 2024,232 m²
"Casa de Campo T3 em Alcantarilha e Pêra de 166,00 m2",160.000 €,Alcantarilha E Pêra - 24 de julho de 2024,166 m²
"Moradia T2 Rasmalho, Portimão",160.000 €,Portimão - 24 de julho de 2024,38 m²
"Moradia T6, com garagem e piscinas, em Porches, Algarve",1.400.000 €,Porches - 24 de julho de 2024,261 m²
"Moradia T9 em Varandas do Lago, Almancil, Algarve",3.600.000 €,Almancil - 24 de julho de 2024,754 m²
"Moradia T7 com piscina e jardim, em Boliqueime, Algarve",5.500.000 €,Boliqueime - 24 de julho de 2024,564 m²
Moradia T4 com piscina na Quinta da Balaia no Algarve,750.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,143 m²
"Moradia T2, vista mar, na Praia Verde, Castro Marim, Algarve",795.000 €,Altura - 24 de julho de 2024,159 m²
"Moradia T3 com acesso direto à praia, em Alvor, Algarve",650.000 €,Alvor - 24 de julho de 2024,123 m²
Moradia 5 quartos | Piscina| Jardins | Garagem | Próximo da praia da G,1.425.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,295 m²
"Moradia T3 em Silves, no Algarve",630.000 €,Silves - 24 de julho de 2024,460 m²
"Moradia T4 com piscina e jardim, em Boliqueime, Algarve",1.495.000 €,Quarteira - 24 de julho de 2024,288 m²
"Quinta com moradia T6 e piscina, Santo Estevão, Algarve",6.750.000 €,Luz De Tavira E Santo Estêvão - 24 de julho de 2024,90.000 m²
Moradia T3 Salgados Mobilada e Equipada Algarve,1.400.000 €,Guia - 24 de julho de 2024,238 m²
"Moradia Bi-Familiar em Messines, T6, no centro da Vila",395.000 €,São Bartolomeu de Messines - 24 de julho de 2024,145 m²
"Moradia em Banda T2+1 Venda em Albufeira e Olhos de Água,Albufeira",360.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,126 m²
"Moradia Isolada T5 Venda em Monchique,Monchique",1.195.000 €,Monchique - 24 de julho de 2024,414 m²
Moradia T3 com piscina - Parchal - Bela Vista,590.000 €,Estômbar E Parchal - 24 de julho de 2024,100 m²
Moradia Ruína S. Marcos da Serra - Silves,170.000 €,São Marcos da Serra - 24 de julho de 2024,140 m²
"Espaçosa e Elegante Moradia térrea de 3 quartos, garagem e piscina,...",735.000 €,São Bartolomeu de Messines - 24 de julho de 2024,225 m²
Moradia 5 quartos | Piscina| Jardins | Garagem | Próximo da praia da G,1.425.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,295 m²
Casa antiga para reconstrução nas Sarnadas; Alte.,149.000 €,Alte - Para o topo a 22 de julho de 2024,115 m²
Ruína | zona Boliqueime | vista mar | virado a sul | projecto em aprov,275.000 €,Boliqueime - 24 de julho de 2024,1.884 m²
Bonita Moradia de 3 Quartos + Antigo Moinho com Carácter e Vistas Desl,795.000 €,Paderne - 24 de julho de 2024,225 m²
casa isolada com tres quartos,795.000 €,Silves - 24 de julho de 2024,204 m²
Moradia T3 em condomínio de luxo privado no Algarve - The Crest,750.000 €,Almancil - 24 de julho de 2024,195 m²
Moradia Contemporânea V4 com Vistas Fantásticas perto de Loulé,2.900.000 €,São Sebastião - 24 de julho de 2024,500 m²
Moradia em Ruina perto do Rio e do Mar,67.500 €,Portimão - 24 de julho de 2024,119 m²
Charmosa Moradia T2+2 na Baixa de Olhão com Piscina Privativa e Vista,519.000 €,Olhão - 24 de julho de 2024,148 m²
Moradia tradicional e central em Messines,390.000 €,São Bartolomeu de Messines - 24 de julho de 2024,216 m²
"Moradia T6 no coração de Lagoa, Portimão",450.000 €,Lagoa E Carvoeiro - 24 de julho de 2024,219 m²
Moradia T4 em Olhão,500.000 €,Olhão - 24 de julho de 2024,151 m²
"Casa / Villa T4 em São Gonçalo De Lagos de 208,00 m2",1.499.000 €,Lagos (São Sebastião E Santa Maria) - 24 de julho de 2024,208 m²
* CASA PRÉ-FABRICADA MÓVEL IRM MERCURE DE 8X4 METROS EM SANTAREM.,16.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
MOBILE HOME USADA O'HARA DE 8X4 METROS NA SANTAREM.,22.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
"Moradia Geminada T2 Venda em Quarteira,Loulé",495.000 €,Quarteira - 23 de julho de 2024,"85,09 m²"
"Casa / Villa T3 em Moncarapacho e Fuseta de 65,00 m2",220.000 €,Moncarapacho E Fuseta - 24 de julho de 2024,65 m²
"Moradia T4 de luxo com piscina e garagem no Montenegro, Faro",650.000 €,Montenegro - 24 de julho de 2024,"175,80 m²"
"Moradia 3 quartos com piscina Albufeira, Marina de Albufeira",799.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,"217,97 m²"
Moradia Com Piscina No Centro Histórico Para Reconstrução-Projeto A...,299.000 €,Tavira (Santa Maria E Santiago) - 24 de julho de 2024,133 m²
"Moradia Duplex T1+2 para venda no Algoz, Silves",417.000 €,Algoz E Tunes - 24 de julho de 2024,"161,98 m²"
"Moradia em Banda T3 Venda em Quarteira,Loulé",800.000 €,Quarteira - 24 de julho de 2024,128 m²
"Quinta  Venda em Portimão,Portimão",650.000 €,Portimão - 24 de julho de 2024,82 m²
"Moradia Isolada T4 Venda em Quarteira,Loulé",2.150.000 €,Quarteira - 24 de julho de 2024,290 m²
"Moradia em Banda T3 Venda em Quarteira,Loulé",538.000 €,Quarteira - 24 de julho de 2024,100 m²
"Moradia Geminada T1+1 Venda em Quarteira,Loulé",349.000 €,Quarteira - 24 de julho de 2024,57 m²
"Moradia T2 Venda em Albufeira e Olhos de Água,Albufeira",895.000 €,Albufeira E Olhos De Água - 23 de julho de 2024,135 m²
Vendo Apartamento/ Moradia,189.900 €,Portimão - Para o topo a 24 de julho de 2024,70 m²
* CASA PRÉ-FABRICADA BARATA BK DE 9X4 METROS EM BRAGA.,14.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,36 m²
"Moradia em Banda T2 Venda em Quarteira,Loulé",495.000 €,Quarteira - 24 de julho de 2024,62 m²
Vende-se moradia t3 em Tunes,425.000 €,Algoz E Tunes - 24 de julho de 2024,141 m²
Vende-se casa de campo,138.000 €,São Marcos da Serra - 24 de julho de 2024,80 m²
Moradia T3 para venda,640.000 €,Lagoa E Carvoeiro - 24 de julho de 2024,236 m²
Moradia T3 para venda,700.000 €,Quarteira - 24 de julho de 2024,166 m²
Moradia térrea T2 Montenegro,305.000 €Negociável,Montenegro - 24 de julho de 2024,100 m²
Moradia T2 para venda,350.000 €,"Querença, Tôr E Benafim - 24 de julho de 2024",120 m²
Moradia T2 para venda,445.000 €,Castro Marim - 24 de julho de 2024,71 m²
"Moradia T2, árvores de fruta, jardim, alpendre vista mar, localizada a",479.500 €,Conceição E Cabanas De Tavira - 24 de julho de 2024,118 m²
Villa deslumbrante em Boliqueime com 5.700 m2 de terreno,1.640.000 €,Quarteira - 24 de julho de 2024,5.700 m²
* CASA MÓVEL USADA IRM VILANOVA DE 8X4 METROS EM BEJA.,14.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
Charmosa Moradia T3+1 com Vistas Panorâmicas do Mar e do Campo em Loul,1.500.000 €,São Sebastião - 24 de julho de 2024,619 m²
"Moradia T3+4 com logradouro em São Bartolomeu de Messines, Silves",350.000 €,São Bartolomeu de Messines - 24 de julho de 2024,270 m²
Moradia T4  Vista Campo  em Vale Fuzeiros -  Silves,227.000 €,São Bartolomeu de Messines - 24 de julho de 2024,82 m²
"Charmosa Moradia de 3 quartos, totalmente renovada, antigamente uma...",450.000 €,Silves - 24 de julho de 2024,100 m²
"Charmosa Moradia de 2 pisos com 3 quartos e piscina (6m x 3,5m), in...",985.000 €,Lagoa E Carvoeiro - 24 de julho de 2024,180 m²
Luxuosa Moradia com Vista Mar em Lagos,2.900.000 €,Lagos (São Sebastião E Santa Maria) - 24 de julho de 2024,300 m²
Moradia T3+1 para venda em Loulé,900.000 €,São Clemente - 24 de julho de 2024,230 m²
Boa Oportunidade de Investimento! Bonita Moradia térrea com 4 quart...,300.000 €,São Bartolomeu de Messines - 24 de julho de 2024,"196,95 m²"
Moradia 5 quartos | Piscina| Jardins | Garagem | Próximo da praia da G,1.425.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,295 m²
Ruína | zona Boliqueime | vista mar | virado a sul | projecto em aprov,275.000 €,Boliqueime - 24 de julho de 2024,1.884 m²
"Moradia Geminada T2 Venda em Quarteira,Loulé",495.000 €,Quarteira - 23 de julho de 2024,"85,09 m²"
Moradia 5 quartos | Piscina| Jardins | Garagem | Próximo da praia da G,1.425.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,295 m²
* CASA MÓVEL USADA IRM VILANOVA DE 8X4 METROS EM BEJA.,14.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
"Espetacular Moradia em banda de 4 quartos com terraço, garagem e ja...",525.000 €,Ferreiras - 24 de julho de 2024,"171,70 m²"
"Quinta com duas casas tradicionais, inseridas em terreno de 15160m2...",740.000 €,Silves - 24 de julho de 2024,15.160 m²
"Moradia T5 no Centro, Perto da Zona Ribeirinha, Portimão",450.000 €,Portimão - 24 de julho de 2024,270 m²
Exclusiva Moradia de Luxo T3 com Vista Mar na Praia da Luz,2.350.000 €,Luz - 24 de julho de 2024,295 m²
Encantadora Moradia T3 de Design Contemporâneo,490.000 €,Portimão - 24 de julho de 2024,112 m²
"Moradia T3 na Praia da Rocha, Portimão",599.000 €,Portimão - 24 de julho de 2024,204 m²
Excelente Oportunidade de Investimento! Charmosa Moradia Familiar d...,975.000 €,Silves - 24 de julho de 2024,212 m²
"Casa Geminada de 3 quartos + 1 quarto interior, inserida em terreno...",219.000 €,São Bartolomeu de Messines - 24 de julho de 2024,82 m²
Moradia isolada com piscina; Carvoeiro e Lagoa,1.495.000 €,Lagoa E Carvoeiro - 24 de julho de 2024,268 m²
"Casa térrea geminada para restaurar, localizada no centro de Aldeia...",149.500 €,São Bartolomeu de Messines - 24 de julho de 2024,60 m²
* CASA PRÉ-FABRICADA MÓVEL IRM MERCURE DE 8X4 METROS EM SANTAREM.,16.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
MOBILE HOME USADA O'HARA DE 8X4 METROS NA SANTAREM.,22.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,32 m²
"Moradia T2 Venda em Albufeira e Olhos de Água,Albufeira",895.000 €,Albufeira E Olhos De Água - 23 de julho de 2024,135 m²
Espetacular Moradia geminada de R/C e 1º andar dividida por 2 apart...,375.000 €,Silves - 24 de julho de 2024,220 m²
"Casa geminada para renovar, inserida em terreno com uma área total ...",230.000 €,São Bartolomeu de Messines - 24 de julho de 2024,"126,70 m²"
"Boa oportunidade de Investimento! Casa de Campo para restaurar, ins...",350.000 €,Alcantarilha E Pêra - 24 de julho de 2024,64 m²
"Oportunidade Exclusiva! Charmosa Casa Tradicional, totalmente Renov...",650.000 €,São Bartolomeu de Messines - 24 de julho de 2024,173 m²
"Casa de 3 quartos e terraço com vista sobre a cidade e Castelo, loc...",230.000 €,Silves - 24 de julho de 2024,55 m²
Moradia T4 com piscina perto de Moncarapacho,480.000 €,Moncarapacho E Fuseta - 24 de julho de 2024,148 m²
Moradia V4 | Jardim| Piscina| Quinta Da Balaia| Para Venda Albufeira,650.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,"147,30 m²"
"Propriedade Exclusiva no centro histórico de Silves, de design únic...",1.480.000 €,Silves - 24 de julho de 2024,552 m²
Excelente localização! Casa térrea geminada de 3 quartos (1 interio...,200.000 €,Silves - 24 de julho de 2024,"88,30 m²"
"Casa geminada com area total de 160m2, localizada na aldeia de São ...",96.000 €,São Marcos da Serra - 24 de julho de 2024,100 m²
* CASA PRÉ-FABRICADA BARATA BK DE 9X4 METROS EM BRAGA.,14.900 €Negociável,Lagoa E Carvoeiro - Para o topo a 22 de julho de 2024,36 m²
Ruína | zona Boliqueime | vista mar | virado a sul | projecto em aprov,275.000 €,Boliqueime - 24 de julho de 2024,1.884 m²
Casa antiga para reconstrução nas Sarnadas; Alte.,149.000 €,Alte - Para o topo a 22 de julho de 2024,115 m²
"Luxuosa Moradia de luxo de 2 andares composta por 4 quartos, com um...",1.200.000 €,Silves - 24 de julho de 2024,"189,97 m²"
Moradia T3 para Venda em Portimão,685.000 €,Portimão - 24 de julho de 2024,"151,60 m²"
Quinta mexilhoeira Grande - Portimão,435.000 €,Mexilhoeira Grande - 24 de julho de 2024,100 m²
"Moradia vista Mar , Praia da Galé",2.150.000 €,Guia - 24 de julho de 2024,230 m²
"Herdade T3 Marmelete, Monchique",845.000 €,Monchique - 24 de julho de 2024,114 m²
Casa para reconstrução,90.000 €,Silves - 24 de julho de 2024,120 m²
Quinta T2 para venda,1.200.000 €,Marmelete - 24 de julho de 2024,280.000 m²
Moradia V2 no Condomínio Golférias a 10m da praia de Quarteira,230.000 €,Quarteira - 24 de julho de 2024,51 m²
"Moradia em banda duplex, de tipologia...",340.000 €,Albufeira E Olhos De Água - 24 de julho de 2024,"70,80 m²"
