title,price,location_date,size
"MAFRA - QUINTA, com Moradia Arquitetura Tradicional Portuguesa- 6 D...",1.800.000 €,Mafra - 23 de julho de 2024,41.652 m²
"Moradia na parede, t5 com garagem",580.000 €Negociável,Carcavelos E Parede - Para o topo a 23 de julho de 2024,290 m²
"Casa de Madeira, T.3 Bungalow, Pré-Fabricada",27.000 €,Algueirão-Mem Martins - Para o topo a 23 de julho de 2024,75 m²
"Moradia Isolada T5 | 3 Suites | Lote com 1.000m2 | Manique, Cascais",1.025.000 €,Alcabideche - Hoje às 00:20,200 m²
Moradia nas Azenhas do Mar sobre a Praia e Piscina Oceânica,1.200.000 €,Colares - Hoje às 00:20,196 m²
"Moradia Geminada T4+1 | Condomínio d'Aldeia | Aldeia de Juzo, Cascais",1.190.000 €,Cascais E Estoril - Hoje às 00:20,218 m²
Quinta de charme localizada em zona calma a 10minutos do Estoril co...,3.000.000 €,Alcabideche - 24 de julho de 2024,394 m²
Chalet T4 originalmente de 1890 a ser remodelado a poucos metros da...,2.800.000 €,Cascais E Estoril - 24 de julho de 2024,260 m²
"Moradia na Quinta da Bicuda, T5 com arquitetura tradicional",1.890.000 €,Cascais E Estoril - 24 de julho de 2024,"202,78 m²"
Moradia T4 nova em Sintra com piscina,1.780.000 €,"Sintra (Santa Maria E São Miguel, São Martinho E São Pedro De Penaferrim) - 24 de julho de 2024",1.900 m²
"Moradia contemporânea em construção, T3, inserida em lote com 340m2",1.670.000 €,Cascais E Estoril - 24 de julho de 2024,170 m²
"Moradia nova geminada, localizada na Azóia, com vista de mar",890.000 €,Colares - 24 de julho de 2024,"142,70 m²"
Moradia T3 de arquitectura contemporânea com vista desafogada para ...,2.225.000 €,Rio de Mouro - 24 de julho de 2024,"304,50 m²"
"Moradia T5 com Vista de Mar Deslumbrante em Baleia, C",690.000 €,Carvoeira - 24 de julho de 2024,350 m²
O Vistabella situa-se na região central de Oeiras,1.356.200 €,"Oeiras E São Julião Da Barra, Paço De Arcos E Caxias - 24 de julho de 2024","185,05 m²"
Moradia T4+2 contemporânea,3.500.000 €,Cascais E Estoril - 24 de julho de 2024,343 m²
