title,price,location_date,size
"T3 (9*4) Casa Móvel / Mobil Home/ Bungalow / Casa Madeira 

COZINHA

P",20.000 €,Vila do Conde - Para o topo a 24 de julho de 2024,36 m²
"Moradia T3 em Valongo, Porto",360.000 €,Valongo - 24 de julho de 2024,186 m²
"Casa T5 com jardim, lago e piscina em Felgueiras",520.000 €Negociável,Macieira Da Lixa E Caramos - Para o topo a 23 de julho de 2024,411 m²
"Moradia T3, NOVA, em Árvore, VILA DO CONDE",450.000 €,"Póvoa De Varzim, Beiriz E Argivai - 24 de julho de 2024",175 m²
"Moradia T4, c/ PISCINA em Pombeiro DE RIBAVIZELA, Felgueiras",495.000 €,Pombeiro de Ribavizela - 24 de julho de 2024,207 m²
"Moradia T3, NOVA, c/ 3 suítes e PISCINA, Póvoa de Varzim",625.000 €,"Póvoa De Varzim, Beiriz E Argivai - 24 de julho de 2024",193 m²
"Moradia T4, INDIVIDUAL, na Póvoa de Varzim",375.000 €,"Póvoa De Varzim, Beiriz E Argivai - 24 de julho de 2024",187 m²
Moradia T2+1 Baltar,183.000 €,Baltar - 24 de julho de 2024,80 m²
Moradia T3 Nova – Póvoa de Varzim centro,400.000 €,"Póvoa De Varzim, Beiriz E Argivai - 24 de julho de 2024",174 m²
Andar moradia T3+1 Dúplex de 3 frentes em Perafita,376.000 €,"Perafita, Lavra E Santa Cruz Do Bispo - 24 de julho de 2024","157,15 m²"
Andar moradia T3 Dúplex de 3 frentes em Perafita,387.000 €,"Perafita, Lavra E Santa Cruz Do Bispo - 24 de julho de 2024","175,10 m²"
Moradia T4 na foz do Rio Douro,750.000 €,Canidelo - 24 de julho de 2024,"234,30 m²"
Moradia T3+2 de 4 frentes com jardim e piscina na Cidade da Maia,590.000 €,Cidade Da Maia - 24 de julho de 2024,375 m²
Mobil Home T2 com Alpendre TOP Qualidade IRM - 3 mil euros promocao,22.950 €Negociável,Paranhos - 23 de julho de 2024,32 m²
Mobil Home V2 SUPERDELUXE - Oferta de entrega só na Oportocar - Visite,32.950 €,Touguinha E Touguinhó - Para o topo a 23 de julho de 2024,32 m²
Mobil Home T2 | Ripado Envernizado Top nova super moderna,19.950 €,"Sandim, Olival, Lever E Crestuma - Para o topo a 23 de julho de 2024",32 m²
Moradia T1 térrea para reconstruir de três frentes à Venda Nova em Rio,125.000 €,Rio Tinto - 24 de julho de 2024,"35,88 m²"
Moradia T4 de 3 frentes em fase final de construção,455.000 €,Pedroso E Seixezelo - 24 de julho de 2024,"349,30 m²"
"Moradia T4 em Antunes Guimarâes, no Porto",990.000 €,"Aldoar, Foz Do Douro E Nevogilde - 24 de julho de 2024","302,25 m²"
Moradia T3 térrea de 4 frentes em Perosinho,385.000 €,Serzedo E Perosinho - 24 de julho de 2024,180 m²
Moradia T3+1 a 50 metros da estação da CP em São Romão Coronado,490.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,"238,50 m²"
"Moradia T3 a 1,5 kms do centro da Vila do Coronado",350.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,"218,75 m²"
Moradia T4 com 3 frentes em Ermesinde,475.000 €,Ermesinde - 24 de julho de 2024,274 m²
Moradia T3 de 4 frentes e garagem para 2 carros em Penafiel,255.000 €,Termas De São Vicente - 24 de julho de 2024,205 m²
Moradia T6 de 4 frentes para reconstruir em zona ARU,243.500 €,Moreira - 24 de julho de 2024,289 m²
Moradia com 3 frentes como nova em Ermesinde,475.000 €,Ermesinde - 24 de julho de 2024,274 m²
"Moradia térrea T2 em Campo, Valongo",180.000 €,Campo E Sobrado - 24 de julho de 2024,65 m²
Moradia - Prédio para restauro - fase de obra existente avançada,290.000 €Negociável,Campanhã - Para o topo a 22 de julho de 2024,480 m²
Moradia independente à venda em - Marco de Canaveses,78.000 €Negociável,Marco - Para o topo a 24 de julho de 2024,80 m²
Luxuosa Moradia T3 na Cidade da Maia,750.000 €,Cidade Da Maia - 24 de julho de 2024,300 m²
Luxuosa Moradia T3 na Cidade da Maia,750.000 €,Cidade Da Maia - 24 de julho de 2024,300 m²
Excelente moradia com 3 frentes como nova,475.000 €,Ermesinde - 24 de julho de 2024,274 m²
Moradia Geminada Térrea T2 Com Logradouro Em Nogueira Da Maia,245.000 €,Nogueira E Silva Escura - 24 de julho de 2024,48 m²
"Moradia T4 em Banda, Exclusiva, em Vila Nova da Telha",371.800 €,Vila Nova da Telha - 24 de julho de 2024,184 m²
Elegante Moradia T4+1 com Amplo Terreno de 1938m² em Vila das Aves!,645.000 €,Aves - 24 de julho de 2024,187 m²
Moradia T4 Nova Em Banda C/ Piscina - Maia,670.000 €,Moreira - 24 de julho de 2024,221 m²
Casa da Avó - Residência Sénior,430.000 €,"Santo Tirso, Couto (Santa Cristina E São Miguel) E Burgães - 24 de julho de 2024",206 m²
"Moradia, no centro da Maia, possibilidade de construção em altura",365.000 €,Cidade Da Maia - 24 de julho de 2024,109 m²
Moradia T5 para venda,380.000 €,"Custóias, Leça Do Balio E Guifões - 24 de julho de 2024",135 m²
"T2 - 7,8*3,5 Casa Móvel Mobile Home Bungalow Casa Madeira",15.000 €Negociável,"Póvoa De Varzim, Beiriz E Argivai - Para o topo a 24 de julho de 2024",28 m²
T2 - 8*4 - Casa Móvel Mobile Home Bungalow Casa y,22.000 €,"Póvoa De Varzim, Beiriz E Argivai - Para o topo a 24 de julho de 2024",32 m²
Mobil Home V2 | IRM TOP Mercure | STOCK-OFF,18.950 €Negociável,Matosinhos E Leça Da Palmeira - Para o topo a 23 de julho de 2024,32 m²
Moradia T4 para venda,980.000 €,Canidelo - 24 de julho de 2024,290 m²
Moradia T0 para venda,23.000 €,"Bustelo, Carneiro E Carvalho De Rei - 24 de julho de 2024","53,80 m²"
Moradia T3 para venda,59.000 €,Boelhe - 24 de julho de 2024,62 m²
Moradia T4 para venda,510.000 €,Ermesinde - 24 de julho de 2024,215 m²
"MORADIA T11 Remodelada, totalmente mobilada e equipada, área descobert",1.700.000 €,Ramalde - 24 de julho de 2024,594 m²
Moradia em banda V3 com 3 suítes e garagem para 2 carros para compr...,410.000 €,Fânzeres E São Pedro Da Cova - 24 de julho de 2024,"269,50 m²"
Moradia Térrea com Mezanine T2 mais 1 - Oliveira do Douro,289.000 €,Oliveira do Douro - 24 de julho de 2024,110 m²
"Empreendimento, Fonte Leite Nature Villa, Trofa.",375.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,228 m²
"Empreendimento, Fonte Leite Nature Villas, Trofa.",375.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,228 m²
"Empreendimento, Fonte Leite Nature Villas, Trofa.",375.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,228 m²
T2 - 8*4 - Casa Móvel Mobile Home Bungalow Casa Madeira,18.000 €,"Póvoa De Varzim, Beiriz E Argivai - Para o topo a 24 de julho de 2024",32 m²
T2 - 8*4 - Casa Móvel Mobile Home Bungalow Casa y,22.000 €,"Póvoa De Varzim, Beiriz E Argivai - Para o topo a 24 de julho de 2024",32 m²
Moradia Senhora da Hora - Optima localização,280.000 €Negociável,São Mamede De Infesta E Senhora Da Hora - Para o topo a 23 de julho de 2024,139 m²
"Empreendimento, Fonte Leite Nature Villa, Trofa.",375.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,228 m²
Moradia T4 | Pedroso | Piscina | Jardim |Box garagem | NOVA,420.000 €,Pedroso E Seixezelo - 24 de julho de 2024,243 m²
Moradia V3+1 Geminada,410.000 €,Moreira - 24 de julho de 2024,278 m²
Moradia Terreá Totalmente Nova,349.000 €,Rio Tinto - 24 de julho de 2024,150 m²
Moradia V4 Centro da Maia Cidade Jardim,250.000 €,Cidade Da Maia - 24 de julho de 2024,200 m²
Moradia V4 para Habitação e Comércio em Madalena,350.000 €,Madalena - 24 de julho de 2024,300 m²
Moradia Bi-familiar em Ramalde,465.000 €,Ramalde - 24 de julho de 2024,180 m²
Moradia V1 recuperada junto a estação de metro,225.000 €,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - 24 de julho de 2024",60 m²
Moradia T2 Independente e Bi-Familiar,370.000 €,Madalena - 24 de julho de 2024,156 m²
Casa Histórica para Restaurar em Valongo,140.000 €,Valongo - 24 de julho de 2024,60 m²
Mobil Home T2 | Ripado Envernizado Top nova super moderna,19.950 €,"Sandim, Olival, Lever E Crestuma - Para o topo a 23 de julho de 2024",32 m²
"T3 (9*4) Casa Móvel / Mobil Home/ Bungalow / Casa Madeira 

COZINHA

P",20.000 €,Vila do Conde - Para o topo a 24 de julho de 2024,36 m²
Moradia baltar independente  T2+1,183.000 €,Baltar - Para o topo a 23 de julho de 2024,80 m²
Moradia T2 Renovada com Marquise e Pátio,270.000 €,Campanhã - 24 de julho de 2024,140 m²
Moradia T4 Independente e Bi-Familiar,620.000 €,Madalena - 24 de julho de 2024,181 m²
Moradia T3 Independente e Bi-Familiar,460.000 €,Madalena - 24 de julho de 2024,161 m²
Casa para Restauro com Terreno e Anexos,80.000 €,Meinedo - 24 de julho de 2024,200 m²
Moradia T3 com vistas deslumbrantes em Baião,224.000 €,Ancede E Ribadouro - 24 de julho de 2024,270 m²
T3 Duplex novo com 2 lugares de garagem e terraço,479.000 €,Ermesinde - 24 de julho de 2024,267 m²
Andar Moradia T3 com Terraço em Vila do Conde,290.000 €,Árvore - 24 de julho de 2024,363 m²
Moradia V3 com Terraço e Vistas ao Rio Douro,220.000 €,Rio Mau - 24 de julho de 2024,154 m²
Andar Moradia T3 no 1ºA em Pedrouços com garagem,245.000 €,Pedrouços - 24 de julho de 2024,90 m²
Moradia T3 | Rio Tinto | Nova | Jardim | Piscina | Box 4 carros,460.000 €,Rio Tinto - 24 de julho de 2024,270 m²
Mobil Home T2 com Alpendre TOP Qualidade IRM - 3 mil euros promocao,22.950 €Negociável,Paranhos - 23 de julho de 2024,32 m²
Moradia - Prédio para restauro - fase de obra existente avançada,290.000 €Negociável,Campanhã - Para o topo a 22 de julho de 2024,480 m²
Moradia independente à venda em - Marco de Canaveses,78.000 €Negociável,Marco - Para o topo a 24 de julho de 2024,80 m²
"Empreendimento, Fonte Leite Nature Villa, Trofa.",375.000 €,Coronado (São Romão E São Mamede) - 24 de julho de 2024,228 m²
Moradia T3 Isolada em Fase Avançada de Construção,270.000 €,Cete - 24 de julho de 2024,300 m²
Moradia T4 | Lavra | Praia | Logradouro 932m2 | Piscina Coberta,1.050.000 €,"Perafita, Lavra E Santa Cruz Do Bispo - 24 de julho de 2024",630 m²
Terreno com ruinas em Zona ARU Custóias,265.000 €,"Custóias, Leça Do Balio E Guifões - 24 de julho de 2024",588 m²
